"Left-Weight";"Left-Distance";"Right-Weight";"Right-Distance";"Class Name"
"range1";"range1";"range1";"range1";"B"
"range1";"range1";"range1";"range2";"R"
"range1";"range1";"range1";"range3";"R"
"range1";"range1";"range1";"range4";"R"
"range1";"range1";"range1";"range5";"R"
"range1";"range1";"range2";"range1";"R"
"range1";"range1";"range2";"range2";"R"
"range1";"range1";"range2";"range3";"R"
"range1";"range1";"range2";"range4";"R"
"range1";"range1";"range2";"range5";"R"
"range1";"range1";"range3";"range1";"R"
"range1";"range1";"range3";"range2";"R"
"range1";"range1";"range3";"range3";"R"
"range1";"range1";"range3";"range4";"R"
"range1";"range1";"range3";"range5";"R"
"range1";"range1";"range4";"range1";"R"
"range1";"range1";"range4";"range2";"R"
"range1";"range1";"range4";"range3";"R"
"range1";"range1";"range4";"range4";"R"
"range1";"range1";"range4";"range5";"R"
"range1";"range1";"range5";"range1";"R"
"range1";"range1";"range5";"range2";"R"
"range1";"range1";"range5";"range3";"R"
"range1";"range1";"range5";"range4";"R"
"range1";"range1";"range5";"range5";"R"
"range1";"range2";"range1";"range1";"L"
"range1";"range2";"range1";"range2";"B"
"range1";"range2";"range1";"range3";"R"
"range1";"range2";"range1";"range4";"R"
"range1";"range2";"range1";"range5";"R"
"range1";"range2";"range2";"range1";"B"
"range1";"range2";"range2";"range2";"R"
"range1";"range2";"range2";"range3";"R"
"range1";"range2";"range2";"range4";"R"
"range1";"range2";"range2";"range5";"R"
"range1";"range2";"range3";"range1";"R"
"range1";"range2";"range3";"range2";"R"
"range1";"range2";"range3";"range3";"R"
"range1";"range2";"range3";"range4";"R"
"range1";"range2";"range3";"range5";"R"
"range1";"range2";"range4";"range1";"R"
"range1";"range2";"range4";"range2";"R"
"range1";"range2";"range4";"range3";"R"
"range1";"range2";"range4";"range4";"R"
"range1";"range2";"range4";"range5";"R"
"range1";"range2";"range5";"range1";"R"
"range1";"range2";"range5";"range2";"R"
"range1";"range2";"range5";"range3";"R"
"range1";"range2";"range5";"range4";"R"
"range1";"range2";"range5";"range5";"R"
"range1";"range3";"range1";"range1";"L"
"range1";"range3";"range1";"range2";"L"
"range1";"range3";"range1";"range3";"B"
"range1";"range3";"range1";"range4";"R"
"range1";"range3";"range1";"range5";"R"
"range1";"range3";"range2";"range1";"L"
"range1";"range3";"range2";"range2";"R"
"range1";"range3";"range2";"range3";"R"
"range1";"range3";"range2";"range4";"R"
"range1";"range3";"range2";"range5";"R"
"range1";"range3";"range3";"range1";"B"
"range1";"range3";"range3";"range2";"R"
"range1";"range3";"range3";"range3";"R"
"range1";"range3";"range3";"range4";"R"
"range1";"range3";"range3";"range5";"R"
"range1";"range3";"range4";"range1";"R"
"range1";"range3";"range4";"range2";"R"
"range1";"range3";"range4";"range3";"R"
"range1";"range3";"range4";"range4";"R"
"range1";"range3";"range4";"range5";"R"
"range1";"range3";"range5";"range1";"R"
"range1";"range3";"range5";"range2";"R"
"range1";"range3";"range5";"range3";"R"
"range1";"range3";"range5";"range4";"R"
"range1";"range3";"range5";"range5";"R"
"range1";"range4";"range1";"range1";"L"
"range1";"range4";"range1";"range2";"L"
"range1";"range4";"range1";"range3";"L"
"range1";"range4";"range1";"range4";"B"
"range1";"range4";"range1";"range5";"R"
"range1";"range4";"range2";"range1";"L"
"range1";"range4";"range2";"range2";"B"
"range1";"range4";"range2";"range3";"R"
"range1";"range4";"range2";"range4";"R"
"range1";"range4";"range2";"range5";"R"
"range1";"range4";"range3";"range1";"L"
"range1";"range4";"range3";"range2";"R"
"range1";"range4";"range3";"range3";"R"
"range1";"range4";"range3";"range4";"R"
"range1";"range4";"range3";"range5";"R"
"range1";"range4";"range4";"range1";"B"
"range1";"range4";"range4";"range2";"R"
"range1";"range4";"range4";"range3";"R"
"range1";"range4";"range4";"range4";"R"
"range1";"range4";"range4";"range5";"R"
"range1";"range4";"range5";"range1";"R"
"range1";"range4";"range5";"range2";"R"
"range1";"range4";"range5";"range3";"R"
"range1";"range4";"range5";"range4";"R"
"range1";"range4";"range5";"range5";"R"
"range1";"range5";"range1";"range1";"L"
"range1";"range5";"range1";"range2";"L"
"range1";"range5";"range1";"range3";"L"
"range1";"range5";"range1";"range4";"L"
"range1";"range5";"range1";"range5";"B"
"range1";"range5";"range2";"range1";"L"
"range1";"range5";"range2";"range2";"L"
"range1";"range5";"range2";"range3";"R"
"range1";"range5";"range2";"range4";"R"
"range1";"range5";"range2";"range5";"R"
"range1";"range5";"range3";"range1";"L"
"range1";"range5";"range3";"range2";"R"
"range1";"range5";"range3";"range3";"R"
"range1";"range5";"range3";"range4";"R"
"range1";"range5";"range3";"range5";"R"
"range1";"range5";"range4";"range1";"L"
"range1";"range5";"range4";"range2";"R"
"range1";"range5";"range4";"range3";"R"
"range1";"range5";"range4";"range4";"R"
"range1";"range5";"range4";"range5";"R"
"range1";"range5";"range5";"range1";"B"
"range1";"range5";"range5";"range2";"R"
"range1";"range5";"range5";"range3";"R"
"range1";"range5";"range5";"range4";"R"
"range1";"range5";"range5";"range5";"R"
"range2";"range1";"range1";"range1";"L"
"range2";"range1";"range1";"range2";"B"
"range2";"range1";"range1";"range3";"R"
"range2";"range1";"range1";"range4";"R"
"range2";"range1";"range1";"range5";"R"
"range2";"range1";"range2";"range1";"B"
"range2";"range1";"range2";"range2";"R"
"range2";"range1";"range2";"range3";"R"
"range2";"range1";"range2";"range4";"R"
"range2";"range1";"range2";"range5";"R"
"range2";"range1";"range3";"range1";"R"
"range2";"range1";"range3";"range2";"R"
"range2";"range1";"range3";"range3";"R"
"range2";"range1";"range3";"range4";"R"
"range2";"range1";"range3";"range5";"R"
"range2";"range1";"range4";"range1";"R"
"range2";"range1";"range4";"range2";"R"
"range2";"range1";"range4";"range3";"R"
"range2";"range1";"range4";"range4";"R"
"range2";"range1";"range4";"range5";"R"
"range2";"range1";"range5";"range1";"R"
"range2";"range1";"range5";"range2";"R"
"range2";"range1";"range5";"range3";"R"
"range2";"range1";"range5";"range4";"R"
"range2";"range1";"range5";"range5";"R"
"range2";"range2";"range1";"range1";"L"
"range2";"range2";"range1";"range2";"L"
"range2";"range2";"range1";"range3";"L"
"range2";"range2";"range1";"range4";"B"
"range2";"range2";"range1";"range5";"R"
"range2";"range2";"range2";"range1";"L"
"range2";"range2";"range2";"range2";"B"
"range2";"range2";"range2";"range3";"R"
"range2";"range2";"range2";"range4";"R"
"range2";"range2";"range2";"range5";"R"
"range2";"range2";"range3";"range1";"L"
"range2";"range2";"range3";"range2";"R"
"range2";"range2";"range3";"range3";"R"
"range2";"range2";"range3";"range4";"R"
"range2";"range2";"range3";"range5";"R"
"range2";"range2";"range4";"range1";"B"
"range2";"range2";"range4";"range2";"R"
"range2";"range2";"range4";"range3";"R"
"range2";"range2";"range4";"range4";"R"
"range2";"range2";"range4";"range5";"R"
"range2";"range2";"range5";"range1";"R"
"range2";"range2";"range5";"range2";"R"
"range2";"range2";"range5";"range3";"R"
"range2";"range2";"range5";"range4";"R"
"range2";"range2";"range5";"range5";"R"
"range2";"range3";"range1";"range1";"L"
"range2";"range3";"range1";"range2";"L"
"range2";"range3";"range1";"range3";"L"
"range2";"range3";"range1";"range4";"L"
"range2";"range3";"range1";"range5";"L"
"range2";"range3";"range2";"range1";"L"
"range2";"range3";"range2";"range2";"L"
"range2";"range3";"range2";"range3";"B"
"range2";"range3";"range2";"range4";"R"
"range2";"range3";"range2";"range5";"R"
"range2";"range3";"range3";"range1";"L"
"range2";"range3";"range3";"range2";"B"
"range2";"range3";"range3";"range3";"R"
"range2";"range3";"range3";"range4";"R"
"range2";"range3";"range3";"range5";"R"
"range2";"range3";"range4";"range1";"L"
"range2";"range3";"range4";"range2";"R"
"range2";"range3";"range4";"range3";"R"
"range2";"range3";"range4";"range4";"R"
"range2";"range3";"range4";"range5";"R"
"range2";"range3";"range5";"range1";"L"
"range2";"range3";"range5";"range2";"R"
"range2";"range3";"range5";"range3";"R"
"range2";"range3";"range5";"range4";"R"
"range2";"range3";"range5";"range5";"R"
"range2";"range4";"range1";"range1";"L"
"range2";"range4";"range1";"range2";"L"
"range2";"range4";"range1";"range3";"L"
"range2";"range4";"range1";"range4";"L"
"range2";"range4";"range1";"range5";"L"
"range2";"range4";"range2";"range1";"L"
"range2";"range4";"range2";"range2";"L"
"range2";"range4";"range2";"range3";"L"
"range2";"range4";"range2";"range4";"B"
"range2";"range4";"range2";"range5";"R"
"range2";"range4";"range3";"range1";"L"
"range2";"range4";"range3";"range2";"L"
"range2";"range4";"range3";"range3";"R"
"range2";"range4";"range3";"range4";"R"
"range2";"range4";"range3";"range5";"R"
"range2";"range4";"range4";"range1";"L"
"range2";"range4";"range4";"range2";"B"
"range2";"range4";"range4";"range3";"R"
"range2";"range4";"range4";"range4";"R"
"range2";"range4";"range4";"range5";"R"
"range2";"range4";"range5";"range1";"L"
"range2";"range4";"range5";"range2";"R"
"range2";"range4";"range5";"range3";"R"
"range2";"range4";"range5";"range4";"R"
"range2";"range4";"range5";"range5";"R"
"range2";"range5";"range1";"range1";"L"
"range2";"range5";"range1";"range2";"L"
"range2";"range5";"range1";"range3";"L"
"range2";"range5";"range1";"range4";"L"
"range2";"range5";"range1";"range5";"L"
"range2";"range5";"range2";"range1";"L"
"range2";"range5";"range2";"range2";"L"
"range2";"range5";"range2";"range3";"L"
"range2";"range5";"range2";"range4";"L"
"range2";"range5";"range2";"range5";"B"
"range2";"range5";"range3";"range1";"L"
"range2";"range5";"range3";"range2";"L"
"range2";"range5";"range3";"range3";"L"
"range2";"range5";"range3";"range4";"R"
"range2";"range5";"range3";"range5";"R"
"range2";"range5";"range4";"range1";"L"
"range2";"range5";"range4";"range2";"L"
"range2";"range5";"range4";"range3";"R"
"range2";"range5";"range4";"range4";"R"
"range2";"range5";"range4";"range5";"R"
"range2";"range5";"range5";"range1";"L"
"range2";"range5";"range5";"range2";"B"
"range2";"range5";"range5";"range3";"R"
"range2";"range5";"range5";"range4";"R"
"range2";"range5";"range5";"range5";"R"
"range3";"range1";"range1";"range1";"L"
"range3";"range1";"range1";"range2";"L"
"range3";"range1";"range1";"range3";"B"
"range3";"range1";"range1";"range4";"R"
"range3";"range1";"range1";"range5";"R"
"range3";"range1";"range2";"range1";"L"
"range3";"range1";"range2";"range2";"R"
"range3";"range1";"range2";"range3";"R"
"range3";"range1";"range2";"range4";"R"
"range3";"range1";"range2";"range5";"R"
"range3";"range1";"range3";"range1";"B"
"range3";"range1";"range3";"range2";"R"
"range3";"range1";"range3";"range3";"R"
"range3";"range1";"range3";"range4";"R"
"range3";"range1";"range3";"range5";"R"
"range3";"range1";"range4";"range1";"R"
"range3";"range1";"range4";"range2";"R"
"range3";"range1";"range4";"range3";"R"
"range3";"range1";"range4";"range4";"R"
"range3";"range1";"range4";"range5";"R"
"range3";"range1";"range5";"range1";"R"
"range3";"range1";"range5";"range2";"R"
"range3";"range1";"range5";"range3";"R"
"range3";"range1";"range5";"range4";"R"
"range3";"range1";"range5";"range5";"R"
"range3";"range2";"range1";"range1";"L"
"range3";"range2";"range1";"range2";"L"
"range3";"range2";"range1";"range3";"L"
"range3";"range2";"range1";"range4";"L"
"range3";"range2";"range1";"range5";"L"
"range3";"range2";"range2";"range1";"L"
"range3";"range2";"range2";"range2";"L"
"range3";"range2";"range2";"range3";"B"
"range3";"range2";"range2";"range4";"R"
"range3";"range2";"range2";"range5";"R"
"range3";"range2";"range3";"range1";"L"
"range3";"range2";"range3";"range2";"B"
