Buying,Maint,Doors,Persons,Lug_Boot, Savety, Acceptability
vhigh,vhigh,two,two,small,low,unacc
vhigh,vhigh,two,two,small,med,unacc
vhigh,vhigh,two,two,small,high,unacc
vhigh,vhigh,two,two,med,low,unacc
vhigh,vhigh,two,two,med,med,unacc
vhigh,vhigh,two,two,med,high,unacc
vhigh,vhigh,two,two,big,low,unacc
vhigh,vhigh,two,two,big,med,unacc
vhigh,vhigh,two,two,big,high,unacc
vhigh,vhigh,two,two,small,low,unacc
vhigh,vhigh,two,two,small,med,unacc
vhigh,vhigh,two,two,small,high,unacc
vhigh,vhigh,two,two,med,low,unacc
vhigh,vhigh,two,two,med,med,unacc
vhigh,vhigh,two,two,med,high,unacc
vhigh,vhigh,two,two,big,low,unacc
vhigh,vhigh,two,two,big,med,unacc
vhigh,vhigh,two,two,big,high,unacc
vhigh,vhigh,two,two,small,low,unacc
vhigh,vhigh,two,two,small,med,unacc
vhigh,vhigh,two,two,small,high,unacc
vhigh,vhigh,two,two,med,low,unacc
vhigh,vhigh,two,two,med,med,unacc
vhigh,vhigh,two,two,med,high,unacc
vhigh,vhigh,two,two,big,low,unacc
vhigh,vhigh,two,two,big,med,unacc
vhigh,vhigh,two,two,big,high,unacc
vhigh,vhigh,two,two,small,low,unacc
vhigh,vhigh,two,two,small,med,unacc
vhigh,vhigh,two,two,small,high,unacc
vhigh,vhigh,two,two,med,low,unacc
vhigh,vhigh,two,two,med,med,unacc
vhigh,vhigh,two,two,med,high,unacc
vhigh,vhigh,two,two,big,low,unacc
vhigh,vhigh,two,two,big,med,unacc
vhigh,vhigh,two,two,big,high,unacc
vhigh,vhigh,two,two,small,low,unacc
vhigh,vhigh,two,two,small,med,unacc
vhigh,vhigh,two,two,small,high,unacc
vhigh,vhigh,two,two,med,low,unacc
vhigh,vhigh,two,two,med,med,unacc
vhigh,vhigh,two,two,med,high,unacc
vhigh,vhigh,two,two,big,low,unacc
vhigh,vhigh,two,two,big,med,unacc
vhigh,vhigh,two,two,big,high,unacc
vhigh,vhigh,two,two,small,low,unacc
vhigh,vhigh,two,two,small,med,unacc
vhigh,vhigh,two,two,small,high,unacc
vhigh,vhigh,two,two,med,low,unacc
vhigh,vhigh,two,two,med,med,unacc
vhigh,vhigh,two,two,med,high,unacc
vhigh,vhigh,two,two,big,low,unacc
vhigh,vhigh,two,two,big,med,unacc
vhigh,vhigh,two,two,big,high,unacc
vhigh,vhigh,two,two,small,low,unacc
vhigh,vhigh,two,two,small,med,unacc
vhigh,vhigh,two,two,small,high,unacc
vhigh,vhigh,two,two,med,low,unacc
vhigh,vhigh,two,two,med,med,unacc
vhigh,vhigh,two,two,med,high,unacc
vhigh,vhigh,two,two,big,low,unacc
vhigh,vhigh,two,two,big,med,unacc
vhigh,vhigh,two,two,big,high,unacc
vhigh,vhigh,two,two,small,low,unacc
vhigh,vhigh,two,two,small,med,unacc
vhigh,vhigh,two,two,small,high,unacc
vhigh,vhigh,two,two,med,low,unacc
vhigh,vhigh,two,two,med,med,unacc
vhigh,vhigh,two,two,med,high,unacc
vhigh,vhigh,two,two,big,low,unacc
vhigh,vhigh,two,two,big,med,unacc
vhigh,vhigh,two,two,big,high,unacc
vhigh,vhigh,two,two,small,low,unacc
vhigh,vhigh,two,two,small,med,unacc
vhigh,vhigh,two,two,small,high,unacc
vhigh,vhigh,two,two,med,low,unacc
vhigh,vhigh,two,two,med,med,unacc
vhigh,vhigh,two,two,med,high,unacc
vhigh,vhigh,two,two,big,low,unacc
vhigh,vhigh,two,two,big,med,unacc
vhigh,vhigh,two,two,big,high,unacc
vhigh,vhigh,two,two,small,low,unacc
vhigh,vhigh,two,two,small,med,unacc
vhigh,vhigh,two,two,small,high,unacc
vhigh,vhigh,two,two,med,low,unacc
vhigh,vhigh,two,two,med,med,unacc
