"Pulse3";"Pulse4";"Pulse5";"Pulse6";"Pulse7";"Pulse8";"Pulse9";"Pulse10";"Pulse11";"Pulse12";"Pulse13";"Pulse14";"Pulse15";"Pulse16";"Pulse17";"Pulse18";"Pulse19";"Pulse20";"Pulse21";"Pulse22";"Pulse23";"Pulse24";"Pulse25";"Pulse26";"Pulse27";"Pulse28";"Pulse29";"Pulse30";"Pulse31";"Pulse32";"Pulse33";"Pulse34";"Pulse1";"Class"
"range7";"range2";"range4";"range4";"range5";"range1";"range7";"range4";"range5";"range2";"range4";"range1";"range4";"range1";"range5";"range2";"range4";"range2";"range4";"range2";"range4";"range2";"range4";"range2";"range3";"range2";"range3";"range2";"range4";"range1";"range3";"range2";1;"g"
"range7";"range2";"range5";"range1";"range6";"range1";"range7";"range2";"range3";"range1";"range3";"range1";"range6";"range1";"range3";"range1";"range3";"range1";"range6";"range2";"range6";"range2";"range1";"range2";"range6";"range3";"range1";"range3";"range6";"range3";"range1";"range3";1;"b"
"range7";"range1";"range7";"range7";"range4";"range1";"range6";"range3";"range6";"range3";"range6";"range3";"range1";"range5";"range4";"range2";"range1";"range2";"range1";"range7";"range6";"range4";"range7";"range7";"range3";"range7";"range7";"range2";"range3";"range7";"range1";"range7";1;"b"
"range7";"range3";"range5";"range5";"range5";"range1";"range4";"range1";"range3";"range2";"range4";"range3";"range3";"range2";"range4";"range2";"range4";"range3";"range3";"range2";"range3";"range2";"range3";"range2";"range2";"range2";"range2";"range1";"range6";"range1";"range2";"range1";1;"g"
"range2";"range3";"range6";"range2";"range6";"range2";"range2";"range4";"range2";"range2";"range6";"range3";"range6";"range2";"range6";"range3";"range6";"range3";"range3";"range5";"range3";"range5";"range3";"range4";"range6";"range5";"range6";"range5";"range6";"range4";"range2";"range6";1;"b"
"range5";"range2";"range5";"range1";"range5";"range1";"range5";"range1";"range5";"range1";"range5";"range1";"range5";"range1";"range4";"range1";"range3";"range1";"range4";"range1";"range3";"range1";"range3";"range1";"range2";"range1";"range3";"range1";"range6";"range1";"range1";"range1";1;"g"
"range6";"range3";"range6";"range3";"range7";"range1";"range6";"range3";"range1";"range1";"range6";"range3";"range6";"range3";"range7";"range7";"range1";"range1";"range6";"range3";"range6";"range4";"range7";"range7";"range7";"range7";"range6";"range4";"range7";"range7";"range2";"range4";0;"b"
"range5";"range2";"range7";"range1";"range7";"range2";"range7";"range1";"range5";"range1";"range7";"range1";"range7";"range1";"range7";"range2";"range5";"range1";"range5";"range1";"range5";"range2";"range5";"range2";"range3";"range2";"range3";"range1";"range4";"range1";"range4";"range1";1;"g"
"range6";"range2";"range6";"range3";"range6";"range3";"range2";"range1";"range1";"range1";"range6";"range3";"range6";"range6";"range6";"range6";"range4";"range6";"range6";"range3";"range6";"range4";"range6";"range4";"range2";"range4";"range6";"range4";"range3";"range6";"range2";"range6";1;"b"
"range7";"range5";"range7";"range1";"range7";"range1";"range7";"range1";"range7";"range1";"range7";"range1";"range7";"range1";"range7";"range1";"range5";"range1";"range5";"range1";"range4";"range1";"range4";"range1";"range3";"range1";"range4";"range1";"range3";"range1";"range3";"range1";1;"g"
"range7";"range1";"range7";"range1";"range7";"range1";"range7";"range6";"range7";"range1";"range7";"range7";"range7";"range1";"range7";"range2";"range7";"range1";"range7";"range7";"range7";"range7";"range7";"range2";"range7";"range2";"range7";"range1";"range7";"range1";"range7";"range1";1;"b"
"range7";"range2";"range7";"range2";"range7";"range2";"range7";"range1";"range7";"range1";"range7";"range2";"range7";"range1";"range7";"range2";"range7";"range2";"range7";"range2";"range5";"range2";"range5";"range2";"range4";"range2";"range5";"range1";"range5";"range1";"range5";"range1";1;"g"
"range7";"range1";"range7";"range5";"range5";"range1";"range7";"range1";"range7";"range5";"range7";"range5";"range7";"range2";"range7";"range1";"range7";"range1";"range4";"range6";"range7";"range7";"range7";"range3";"range7";"range6";"range7";"range1";"range7";"range7";"range7";"range2";1;"b"
"range7";"range5";"range7";"range4";"range7";"range2";"range7";"range5";"range7";"range5";"range7";"range5";"range7";"range5";"range7";"range5";"range7";"range6";"range7";"range6";"range7";"range6";"range7";"range6";"range7";"range6";"range7";"range6";"range7";"range6";"range7";"range6";1;"g"
"range2";"range1";"range7";"range6";"range6";"range1";"range7";"range1";"range3";"range1";"range6";"range3";"range1";"range1";"range6";"range5";"range7";"range1";"range6";"range3";"range6";"range4";"range6";"range7";"range3";"range6";"range6";"range4";"range7";"range6";"range2";"range4";1;"b"
"range6";"range3";"range6";"range1";"range7";"range7";"range6";"range7";"range1";"range7";"range7";"range1";"range7";"range7";"range1";"range1";"range1";"range7";"range7";"range1";"range1";"range7";"range1";"range7";"range7";"range1";"range1";"range7";"range1";"range1";"range7";"range1";0;"b"
"range3";"range4";"range3";"range4";"range3";"range5";"range2";"range5";"range4";"range5";"range4";"range5";"range5";"range5";"range4";"range6";"range3";"range6";"range4";"range6";"range4";"range6";"range4";"range6";"range3";"range6";"range4";"range6";"range4";"range6";"range7";"range6";1;"g"
"range7";"range1";"range6";"range3";"range6";"range3";"range7";"range7";"range7";"range1";"range1";"range7";"range6";"range3";"range1";"range7";"range7";"range7";"range1";"range7";"range7";"range7";"range1";"range7";"range7";"range7";"range7";"range1";"range7";"range7";"range7";"range7";0;"b"
"range7";"range3";"range7";"range2";"range7";"range2";"range7";"range2";"range7";"range2";"range7";"range1";"range7";"range2";"range7";"range2";"range7";"range2";"range7";"range2";"range7";"range2";"range5";"range2";"range5";"range2";"range5";"range2";"range5";"range2";"range5";"range2";1;"g"
"range7";"range7";"range6";"range3";"range6";"range3";"range6";"range1";"range6";"range3";"range6";"range3";"range1";"range1";"range1";"range1";"range1";"range7";"range1";"range7";"range6";"range4";"range6";"range4";"range7";"range1";"range1";"range7";"range1";"range7";"range1";"range7";0;"b"
"range6";"range7";"range6";"range3";"range6";"range3";"range6";"range7";"range7";"range7";"range6";"range3";"range6";"range3";"range7";"range1";"range1";"range7";"range7";"range7";"range6";"range4";"range1";"range1";"range7";"range1";"range7";"range7";"range1";"range7";"range2";"range4";0;"b"
"range7";"range2";"range7";"range4";"range7";"range2";"range7";"range3";"range7";"range2";"range5";"range2";"range7";"range2";"range4";"range3";"range4";"range2";"range7";"range2";"range5";"range2";"range5";"range2";"range4";"range2";"range5";"range2";"range4";"range2";"range5";"range2";1;"g"
"range7";"range2";"range7";"range1";"range5";"range1";"range7";"range6";"range7";"range1";"range5";"range1";"range5";"range2";"range5";"range1";"range3";"range1";"range7";"range5";"range4";"range1";"range4";"range1";"range3";"range1";"range4";"range1";"range4";"range1";"range1";"range1";1;"g"
"range7";"range5";"range7";"range5";"range7";"range2";"range7";"range6";"range7";"range6";"range7";"range6";"range7";"range7";"range7";"range7";"range7";"range7";"range7";"range7";"range7";"range7";"range7";"range7";"range5";"range7";"range5";"range7";"range5";"range7";"range5";"range7";1;"g"
"range6";"range1";"range7";"range7";"range7";"range1";"range6";"range7";"range7";"range1";"range1";"range1";"range6";"range3";"range7";"range7";"range1";"range1";"range7";"range1";"range7";"range1";"range7";"range7";"range7";"range1";"range7";"range1";"range1";"range7";"range7";"range1";0;"b"
"range7";"range2";"range7";"range1";"range7";"range1";"range7";"range2";"range7";"range1";"range7";"range2";"range7";"range2";"range7";"range2";"range7";"range2";"range7";"range2";"range7";"range2";"range7";"range2";"range7";"range2";"range7";"range1";"range7";"range1";"range7";"range1";1;"g"
"range7";"range1";"range7";"range7";"range7";"range1";"range7";"range1";"range7";"range1";"range7";"range3";"range7";"range1";"range7";"range7";"range7";"range1";"range7";"range7";"range7";"range1";"range6";"range4";"range7";"range7";"range7";"range1";"range7";"range7";"range7";"range7";1;"b"
"range4";"range2";"range5";"range2";"range5";"range2";"range5";"range1";"range5";"range1";"range5";"range1";"range5";"range1";"range5";"range2";"range5";"range2";"range5";"range2";"range4";"range2";"range4";"range2";"range3";"range2";"range4";"range2";"range4";"range1";"range4";"range1";1;"g"
"range3";"range3";"range2";"range1";"range7";"range2";"range7";"range2";"range7";"range2";"range4";"range7";"range5";"range1";"range5";"range2";"range5";"range2";"range6";"range7";"range4";"range5";"range4";"range3";"range5";"range2";"range5";"range2";"range7";"range1";"range1";"range1";1;"b"
"range7";"range2";"range3";"range6";"range5";"range1";"range7";"range1";"range7";"range1";"range5";"range2";"range5";"range5";"range7";"range6";"range7";"range6";"range7";"range3";"range7";"range1";"range7";"range6";"range7";"range3";"range7";"range3";"range7";"range6";"range7";"range1";1;"g"
"range3";"range1";"range7";"range7";"range7";"range1";"range5";"range1";"range7";"range1";"range7";"range1";"range7";"range7";"range3";"range7";"range7";"range7";"range7";"range7";"range7";"range1";"range7";"range7";"range7";"range3";"range7";"range2";"range7";"range7";"range7";"range6";1;"b"
"range7";"range4";"range7";"range2";"range7";"range3";"range7";"range2";"range7";"range2";"range7";"range2";"range7";"range2";"range7";"range3";"range7";"range3";"range7";"range3";"range7";"range3";"range7";"range3";"range5";"range3";"range7";"range3";"range7";"range2";"range6";"range2";1;"g"
"range7";"range7";"range7";"range1";"range6";"range3";"range6";"range3";"range1";"range1";"range6";"range3";"range6";"range3";"range1";"range7";"range7";"range7";"range1";"range7";"range1";"range7";"range7";"range1";"range7";"range7";"range1";"range7";"range7";"range7";"range2";"range4";0;"b"
"range5";"range4";"range5";"range4";"range7";"range4";"range7";"range4";"range5";"range4";"range7";"range5";"range7";"range5";"range7";"range5";"range5";"range6";"range5";"range5";"range5";"range6";"range5";"range6";"range4";"range6";"range5";"range6";"range5";"range5";"range5";"range6";1;"g"
"range7";"range4";"range7";"range4";"range7";"range5";"range4";"range1";"range5";"range5";"range5";"range6";"range5";"range5";"range5";"range6";"range7";"range6";"range5";"range6";"range4";"range6";"range4";"range6";"range3";"range6";"range4";"range6";"range4";"range6";"range7";"range7";1;"b"
"range6";"range1";"range7";"range7";"range7";"range2";"range6";"range3";"range1";"range7";"range7";"range7";"range3";"range1";"range1";"range1";"range3";"range1";"range7";"range1";"range1";"range7";"range1";"range1";"range7";"range1";"range1";"range1";"range7";"range7";"range2";"range4";1;"b"
