Picked_Hero, Role,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Gold,Result
Nana,Mage,Immortality,Arcane Boots,Ares Belt,Warrior Boots,Windtalker,Haas Claw,8765,Victory
Roger,Marksman,Oracle,Windtalker,Arcane Boots,Warrior Boots,Ares Belt,Immortality,6443,Victory
Minotaur,Tank,Windtalker,Haas Claw,Curse Sword,Ares Belt,Immortality,Haas Claw,7546,Victory
Aldous,Aldous,Arcane Boots,Oracle,Exotic Veil,Warrior Boots,Divine Glaive,Immortality,9844,Victory
Harith,Mage,Curse Sword,Windtalker,Arcane Boots,Immortality,Divine Glaive,Haas Claw,10006,Victory
Chou,Fighter,Arcane Boots,Exotic Veil,Demon Wings,Haas Claw,Curse Sword,Ares Belt,5645,Defeat
Chang\'e,Mage,Windtalker,Demon Wings,Haas Claw,Warrior Boots,Arcane Boots,Exotic Veil,12977,Defeat
Sun,Fighter,Demon Wings,Haas Claw,Oracle,Warrior Boots,Ares Belt,Divine Glaive,11048,Defeat
Nana,Mage,Windtalker,Haas Claw,Arcane Boots,Ares Belt,Curse Sword,Immortality,10709,Defeat
Irithel,Marksman,Windtalker,Oracle,Exotic Veil,Haas Claw,Immortality,Demon Wings,12678,Defeat
Lunox,Mage,Oracle,Arcane Boots,Ares Belt,Haas Claw,Divine Glaive,Demon Wings,10978,Defeat
Sun,Fighter,Arcane Boots,Divine Glaive,Haas Claw,Ares Belt,Divine Glaive,Curse Sword,9045,Defeat
Layla,Marksman,Exotic Veil,Divine Glaive,Arcane Boots,Warrior Boots,Divine Glaive,Curse Sword,8734,Defeat
Roger,Marksman,Windtalker,Warrior Boots,Haas Claw,Arcane Boots,Ares Belt,Curse Sword,8021,Defeat
Chou,Fighter,Windtalker,Exotic Veil,Ares Belt,Arcane Boots,Curse Sword,Demon Wings,7743,Defeat
Kagura,Mage,Arcane Boots,Divine Glaive,Haas Claw,Warrior Boots,Curse Sword,Immortality,13654,Victory
Harley,Mage,Curse Sword,Immortality,Haas Claw,Divine Glaive,Arcane Boots,Demon Wings,12437,Victory
Sun,Fighter,Immortality,Windtalker,Haas Claw,Curse Sword,Exotic Veil,Demon Wings,12889,Victory
Nana,Mage,Curse Sword,Windtalker,Immortality,Curse Sword,Warrior Boots,Arcane Boots,12556,Victory
Layla,Marksman,Windtalker,Oracle,Haas Claw,Immortality,Divine Glaive,Arcane Boots,8732,Victory
Karrie,Marksman,Curse Sword,Windtalker,Arcane Boots,Warrior Boots,Divine Glaive,Warrior Boots,9442,Victory
Granger,Marksman,Haas Claw,Demon Wings,Immortality,Windtalker,Curse Sword,Oracle,17433,Victory
Eudora,Mage,Oracle,Arcane Boots,Demon Wings,Warrior Boots,Curse Sword,Warrior Boots,15663,Victory
Thamuz,Fighter,Haas Claw,Demon Wings,Arcane Boots,Windtalker,Immortality,Exotic Veil,19471,Victory
Alucard,Fighter,Arcane Boots,Windtalker,Demon Wings,Curse Sword,Exotic Veil,Warrior Boots,17015,Victory
Lesley,Assassin,Haas Claw,Curse Sword,Windtalker,Arcane Boots,Exotic Veil,Ares Belt,15030,Defeat
Sun,Fighter,Oracle,Curse Sword,Arcane Boots,Demon Wings,Warrior Boots,Divine Glaive,14689,Defeat
Eudora,Mage,Arcane Boots,Oracle,Demon Wings,Ares Belt,Exotic Veil,Immortality,14477,Defeat
Alucard,Fighter,Windtalker,Haas Claw,Arcane Boots,Oracle,Divine Glaive,Curse Sword,16177,Defeat
Kaja,Fighter,Haas Claw,Exotic Veil,Oracle,Arcane Boots,Divine Glaive,Ares Belt,18960,Defeat
Zilong,Fighter,Windtalker,Haas Claw,Demon Wings,Exotic Veil,Arcane Boots,Ares Belt,17344,Defeat
Layla,Marksman,Windtalker,Exotic Veil,Haas Claw,Arcane Boots,Demon Wings,Warrior Boots,16332,Defeat
Roger,Marksman,Windtalker,Ares Belt,Arcane Boots,Warrior Boots,Haas Claw,Divine Glaive,14566,Defeat
Alice,Mage,Arcane Boots,Exotic Veil,Windtalker,Haas Claw,Immortality,Divine Glaive,12335,Defeat
Nana,Mage,Exotic Veil,Curse Sword,Arcane Boots,Haas Claw,Demon Wings,Ares Belt,14890,Defeat
Sun,Fighter,Oracle,Arcane Boots,Haas Claw,Exotic Veil,Divine Glaive,Curse Sword,12847,Victory
Johnson,Tank,Curse Sword,Haas Claw,Windtalker,Arcane Boots,Divine Glaive,Immortality,9733,Victory
Harith,Mage,Curse Sword,Arcane Boots,Immortality,Exotic Veil,Windtalker,Warrior Boots,10067,Victory
Harley,Mage,Demon Wings,Oracle,Arcane Boots,Immortality,Windtalker,Warrior Boots,10500,Victory
Layla,Marksman,Oracle,Curse Sword,Demon Wings,Arcane Boots,Warrior Boots,Divine Glaive,13622,Victory
Fanny,Assassin,Haas Claw,Arcane Boots,Oracle,Windtalker,Divine Glaive,Ares Belt,12657,Defeat
Saber,Assassin,Arcane Boots,Haas Claw,Curse Sword,Windtalker,Ares Belt,Immortality,11345,Defeat
Nana,Mage,Windtalker,Demon Wings,Arcane Boots,Curse Sword,Divine Glaive,Exotic Veil,16834,Defeat
Harley,Mage,Demon Wings,Ares Belt,Oracle,Haas Claw,Divine Glaive,Warrior Boots,16834,Defeat
Lancelot,Assassin,Exotic Veil,Haas Claw,Windtalker,Arcane Boots,Curse Sword,Ares Belt,14778,Defeat
Grock,Tank,Oracle,Haas Claw,Exotic Veil,Arcane Boots,Curse Sword,Demon Wings,13224,Victory
Franco,Tank,Windtalker,Arcane Boots,Haas Claw,Immortality,Oracle,Warrior Boots,13521,Victory
Nana,Mage,Arcane Boots,Oracle,Warrior Boots,Demon Wings,Exotic Veil,Immortality,15661,Victory
Kadita,Mage,Windtalker,Arcane Boots,Haas Claw,Ares Belt,Curse Sword,Demon Wings,9454,Victory
Harith,Mage,Oracle,Exotic Veil,Arcane Boots,Warrior Boots,Curse Sword,Ares Belt,11913,Victory
Irither,Marksman,Windtalker,Exotic Veil,Oracle,Immortality,Warrior Boots,Arcane Boots,13423,Victory
Khufra,Tank,Windtalker,Exotic Veil,Haas Claw,Arcane Boots,Immortality,Divine Glaive,12157,Victory
Angela,Support,Arcane Boots,Oracle,Warrior Boots,Demon Wings,Curse Sword,Divine Glaive,12018,Victory
Johnson,Tanks,Demon Wings,Haas Claw,Arcane Boots,Warrior Boots,Curse Sword,Immortality,13059,Victory
Hayabusa,Assassin,Windtalker,Immortality,Oracle,Arcane Boots,Curse Sword,Divine Glaive,11348,Victory
Uranus,Tank,Windtalker,Arcane Boots,Immortality,Haas Claw,Warrior Boots,Demon Wings,10991,Defeat
Khufra,Tank,Demon Wings,Windtalker,Windtalker,Arcane Boots,Exotic Veil,Divine Glaive,9425,Defeat
