"Recency (months)";"Frequency (times)";"Time (months)";"Monetary (c.c. blood)";"whether he/she donated blood in March 2007"
"range1 [-inf - 2.500]";"range6 [9.500 - inf]";"range6 [59.500 - inf]";12500;1
"range1 [-inf - 2.500]";"range6 [9.500 - inf]";"range3 [21.500 - 28.500]";3250;1
"range1 [-inf - 2.500]";"range6 [9.500 - inf]";"range4 [28.500 - 40.500]";4000;1
"range1 [-inf - 2.500]";"range6 [9.500 - inf]";"range5 [40.500 - 59.500]";5000;1
"range1 [-inf - 2.500]";"range6 [9.500 - inf]";"range6 [59.500 - inf]";6000;0
"range2 [2.500 - 4.500]";"range3 [2.500 - 4.500]";"range1 [-inf - 11.500]";1000;0
"range1 [-inf - 2.500]";"range5 [6.500 - 9.500]";"range2 [11.500 - 21.500]";1750;1
"range1 [-inf - 2.500]";"range6 [9.500 - inf]";"range4 [28.500 - 40.500]";3000;0
"range1 [-inf - 2.500]";"range5 [6.500 - 9.500]";"range3 [21.500 - 28.500]";2250;1
"range3 [4.500 - 7.500]";"range6 [9.500 - inf]";"range6 [59.500 - inf]";11500;1
"range2 [2.500 - 4.500]";"range6 [9.500 - inf]";"range5 [40.500 - 59.500]";5750;0
"range1 [-inf - 2.500]";"range3 [2.500 - 4.500]";"range1 [-inf - 11.500]";750;0
"range1 [-inf - 2.500]";"range6 [9.500 - inf]";"range3 [21.500 - 28.500]";2500;1
"range1 [-inf - 2.500]";"range6 [9.500 - inf]";"range5 [40.500 - 59.500]";3250;0
"range1 [-inf - 2.500]";"range4 [4.500 - 6.500]";"range2 [11.500 - 21.500]";1500;1
"range1 [-inf - 2.500]";"range4 [4.500 - 6.500]";"range1 [-inf - 11.500]";1250;1
"range1 [-inf - 2.500]";"range6 [9.500 - inf]";"range5 [40.500 - 59.500]";3500;1
"range1 [-inf - 2.500]";"range6 [9.500 - inf]";"range5 [40.500 - 59.500]";3750;1
"range1 [-inf - 2.500]";"range4 [4.500 - 6.500]";"range2 [11.500 - 21.500]";1500;1
"range1 [-inf - 2.500]";"range3 [2.500 - 4.500]";"range1 [-inf - 11.500]";750;1
"range1 [-inf - 2.500]";"range3 [2.500 - 4.500]";"range1 [-inf - 11.500]";750;1
"range2 [2.500 - 4.500]";"range6 [9.500 - inf]";"range3 [21.500 - 28.500]";2750;0
"range1 [-inf - 2.500]";"range4 [4.500 - 6.500]";"range2 [11.500 - 21.500]";1500;1
"range1 [-inf - 2.500]";"range4 [4.500 - 6.500]";"range2 [11.500 - 21.500]";1500;1
"range4 [7.500 - 13.500]";"range5 [6.500 - 9.500]";"range2 [11.500 - 21.500]";2250;0
"range2 [2.500 - 4.500]";"range6 [9.500 - inf]";"range4 [28.500 - 40.500]";3500;0
"range2 [2.500 - 4.500]";"range4 [4.500 - 6.500]";"range2 [11.500 - 21.500]";1500;0
"range2 [2.500 - 4.500]";"range6 [9.500 - inf]";"range4 [28.500 - 40.500]";3000;1
"range2 [2.500 - 4.500]";"range4 [4.500 - 6.500]";"range1 [-inf - 11.500]";1250;1
"range2 [2.500 - 4.500]";"range5 [6.500 - 9.500]";"range2 [11.500 - 21.500]";2000;0
"range1 [-inf - 2.500]";"range6 [9.500 - inf]";"range5 [40.500 - 59.500]";3500;0
"range2 [2.500 - 4.500]";"range6 [9.500 - inf]";"range3 [21.500 - 28.500]";2500;1
"range2 [2.500 - 4.500]";"range6 [9.500 - inf]";"range3 [21.500 - 28.500]";2500;1
"range2 [2.500 - 4.500]";"range5 [6.500 - 9.500]";"range3 [21.500 - 28.500]";2250;1
"range1 [-inf - 2.500]";"range6 [9.500 - inf]";"range6 [59.500 - inf]";4000;0
"range1 [-inf - 2.500]";"range5 [6.500 - 9.500]";"range3 [21.500 - 28.500]";2000;1
"range1 [-inf - 2.500]";"range6 [9.500 - inf]";"range5 [40.500 - 59.500]";3000;1
"range2 [2.500 - 4.500]";"range4 [4.500 - 6.500]";"range2 [11.500 - 21.500]";1500;1
"range1 [-inf - 2.500]";"range6 [9.500 - inf]";"range5 [40.500 - 59.500]";3500;1
"range2 [2.500 - 4.500]";"range5 [6.500 - 9.500]";"range3 [21.500 - 28.500]";1750;1
"range1 [-inf - 2.500]";"range6 [9.500 - inf]";"range5 [40.500 - 59.500]";3250;1
"range1 [-inf - 2.500]";"range4 [4.500 - 6.500]";"range2 [11.500 - 21.500]";1250;0
"range1 [-inf - 2.500]";"range4 [4.500 - 6.500]";"range2 [11.500 - 21.500]";1250;1
"range1 [-inf - 2.500]";"range4 [4.500 - 6.500]";"range2 [11.500 - 21.500]";1250;0
"range2 [2.500 - 4.500]";"range6 [9.500 - inf]";"range6 [59.500 - inf]";5000;1
"range2 [2.500 - 4.500]";"range5 [6.500 - 9.500]";"range3 [21.500 - 28.500]";2250;1
"range1 [-inf - 2.500]";"range5 [6.500 - 9.500]";"range4 [28.500 - 40.500]";2250;0
"range1 [-inf - 2.500]";"range2 [1.500 - 2.500]";"range1 [-inf - 11.500]";500;0
"range1 [-inf - 2.500]";"range2 [1.500 - 2.500]";"range1 [-inf - 11.500]";500;0
"range1 [-inf - 2.500]";"range2 [1.500 - 2.500]";"range1 [-inf - 11.500]";500;0
"range1 [-inf - 2.500]";"range6 [9.500 - inf]";"range5 [40.500 - 59.500]";2750;0
"range1 [-inf - 2.500]";"range6 [9.500 - inf]";"range5 [40.500 - 59.500]";2750;1
"range1 [-inf - 2.500]";"range4 [4.500 - 6.500]";"range3 [21.500 - 28.500]";1500;0
"range1 [-inf - 2.500]";"range6 [9.500 - inf]";"range5 [40.500 - 59.500]";3000;0
"range2 [2.500 - 4.500]";"range4 [4.500 - 6.500]";"range2 [11.500 - 21.500]";1250;1
"range2 [2.500 - 4.500]";"range6 [9.500 - inf]";"range6 [59.500 - inf]";4750;1
"range2 [2.500 - 4.500]";"range5 [6.500 - 9.500]";"range3 [21.500 - 28.500]";2000;1
"range1 [-inf - 2.500]";"range5 [6.500 - 9.500]";"range3 [21.500 - 28.500]";1750;1
"range1 [-inf - 2.500]";"range6 [9.500 - inf]";"range6 [59.500 - inf]";4000;0
"range2 [2.500 - 4.500]";"range4 [4.500 - 6.500]";"range2 [11.500 - 21.500]";1500;0
"range1 [-inf - 2.500]";"range5 [6.500 - 9.500]";"range4 [28.500 - 40.500]";1750;0
"range1 [-inf - 2.500]";"range5 [6.500 - 9.500]";"range4 [28.500 - 40.500]";2000;1
"range1 [-inf - 2.500]";"range6 [9.500 - inf]";"range5 [40.500 - 59.500]";2500;0
"range2 [2.500 - 4.500]";"range4 [4.500 - 6.500]";"range2 [11.500 - 21.500]";1250;1
"range1 [-inf - 2.500]";"range3 [2.500 - 4.500]";"range1 [-inf - 11.500]";750;1
"range2 [2.500 - 4.500]";"range6 [9.500 - inf]";"range6 [59.500 - inf]";4000;0
"range1 [-inf - 2.500]";"range3 [2.500 - 4.500]";"range2 [11.500 - 21.500]";1000;1
"range1 [-inf - 2.500]";"range2 [1.500 - 2.500]";"range1 [-inf - 11.500]";500;0
"range2 [2.500 - 4.500]";"range5 [6.500 - 9.500]";"range3 [21.500 - 28.500]";1750;0
"range1 [-inf - 2.500]";"range5 [6.500 - 9.500]";"range5 [40.500 - 59.500]";2250;0
"range1 [-inf - 2.500]";"range3 [2.500 - 4.500]";"range2 [11.500 - 21.500]";1000;0
"range1 [-inf - 2.500]";"range3 [2.500 - 4.500]";"range2 [11.500 - 21.500]";1000;0
"range2 [2.500 - 4.500]";"range6 [9.500 - inf]";"range6 [59.500 - inf]";4250;1
"range1 [-inf - 2.500]";"range2 [1.500 - 2.500]";"range1 [-inf - 11.500]";500;0
"range1 [-inf - 2.500]";"range2 [1.500 - 2.500]";"range1 [-inf - 11.500]";500;1
"range1 [-inf - 2.500]";"range2 [1.500 - 2.500]";"range1 [-inf - 11.500]";500;1
"range1 [-inf - 2.500]";"range3 [2.500 - 4.500]";"range2 [11.500 - 21.500]";1000;1
"range1 [-inf - 2.500]";"range2 [1.500 - 2.500]";"range1 [-inf - 11.500]";500;0
"range1 [-inf - 2.500]";"range2 [1.500 - 2.500]";"range1 [-inf - 11.500]";500;0
"range1 [-inf - 2.500]";"range2 [1.500 - 2.500]";"range1 [-inf - 11.500]";500;0
"range2 [2.500 - 4.500]";"range4 [4.500 - 6.500]";"range3 [21.500 - 28.500]";1500;1
"range1 [-inf - 2.500]";"range3 [2.500 - 4.500]";"range2 [11.500 - 21.500]";1000;0
"range1 [-inf - 2.500]";"range3 [2.500 - 4.500]";"range2 [11.500 - 21.500]";1000;0
"range1 [-inf - 2.500]";"range3 [2.500 - 4.500]";"range2 [11.500 - 21.500]";1000;0
"range1 [-inf - 2.500]";"range4 [4.500 - 6.500]";"range3 [21.500 - 28.500]";1500;1
"range1 [-inf - 2.500]";"range4 [4.500 - 6.500]";"range3 [21.500 - 28.500]";1500;0
"range2 [2.500 - 4.500]";"range2 [1.500 - 2.500]";"range1 [-inf - 11.500]";500;0
"range2 [2.500 - 4.500]";"range2 [1.500 - 2.500]";"range1 [-inf - 11.500]";500;0
"range2 [2.500 - 4.500]";"range2 [1.500 - 2.500]";"range1 [-inf - 11.500]";500;0
"range1 [-inf - 2.500]";"range5 [6.500 - 9.500]";"range4 [28.500 - 40.500]";1750;1
"range2 [2.500 - 4.500]";"range2 [1.500 - 2.500]";"range1 [-inf - 11.500]";500;1
"range2 [2.500 - 4.500]";"range2 [1.500 - 2.500]";"range1 [-inf - 11.500]";500;0
"range2 [2.500 - 4.500]";"range2 [1.500 - 2.500]";"range1 [-inf - 11.500]";500;0
"range2 [2.500 - 4.500]";"range2 [1.500 - 2.500]";"range1 [-inf - 11.500]";500;0
"range4 [7.500 - 13.500]";"range6 [9.500 - inf]";"range3 [21.500 - 28.500]";2750;0
"range2 [2.500 - 4.500]";"range5 [6.500 - 9.500]";"range3 [21.500 - 28.500]";1750;0
"range2 [2.500 - 4.500]";"range6 [9.500 - inf]";"range6 [59.500 - inf]";4250;0
"range2 [2.500 - 4.500]";"range5 [6.500 - 9.500]";"range4 [28.500 - 40.500]";2250;1
"range2 [2.500 - 4.500]";"range3 [2.500 - 4.500]";"range2 [11.500 - 21.500]";1000;1
"range3 [4.500 - 7.500]";"range5 [6.500 - 9.500]";"range3 [21.500 - 28.500]";1750;1
"range2 [2.500 - 4.500]";"range5 [6.500 - 9.500]";"range4 [28.500 - 40.500]";2000;1
"range1 [-inf - 2.500]";"range6 [9.500 - inf]";"range6 [59.500 - inf]";3250;1
"range2 [2.500 - 4.500]";"range5 [6.500 - 9.500]";"range4 [28.500 - 40.500]";2250;0
"range1 [-inf - 2.500]";"range4 [4.500 - 6.500]";"range3 [21.500 - 28.500]";1250;0
"range1 [-inf - 2.500]";"range4 [4.500 - 6.500]";"range3 [21.500 - 28.500]";1250;0
"range3 [4.500 - 7.500]";"range6 [9.500 - inf]";"range6 [59.500 - inf]";4250;0
"range1 [-inf - 2.500]";"range5 [6.500 - 9.500]";"range5 [40.500 - 59.500]";2000;0
"range2 [2.500 - 4.500]";"range4 [4.500 - 6.500]";"range3 [21.500 - 28.500]";1250;0
"range1 [-inf - 2.500]";"range3 [2.500 - 4.500]";"range2 [11.500 - 21.500]";750;0
