SpeakerNumber;F0;F1;F2;F3;F4;F5;F6;F7;F8;F9;TT;Sex;Class
range1;range3;range1;range4;range7;range4;range7;range2;range5;range2;range1;zero;female;0
range1;range4;range1;range3;range6;range4;range7;range2;range5;range3;range3;zero;female;1
range1;range7;range2;range1;range3;range2;range7;range1;range5;range2;range4;zero;female;2
range1;range7;range4;range1;range6;range1;range6;range1;range4;range5;range1;zero;female;3
range1;range6;range4;range3;range6;range1;range5;range6;range2;range6;range3;zero;female;4
range1;range5;range4;range3;range5;range1;range5;range5;range2;range6;range3;zero;female;5
range1;range3;range5;range4;range6;range1;range5;range6;range4;range7;range3;zero;female;6
range1;range2;range5;range6;range7;range1;range4;range2;range7;range7;range3;zero;female;7
range1;range2;range5;range2;range5;range3;range7;range1;range6;range5;range3;zero;female;8
range1;range3;range4;range1;range7;range5;range7;range2;range5;range6;range1;zero;female;9
range1;range4;range4;range2;range5;range2;range7;range1;range5;range5;range1;zero;female;10
range1;range3;range1;range4;range7;range4;range7;range2;range5;range2;range1;zero;female;0
range1;range4;range1;range3;range6;range4;range7;range2;range6;range2;range3;zero;female;1
range1;range7;range2;range1;range3;range2;range7;range1;range6;range2;range5;zero;female;2
range1;range6;range4;range1;range6;range2;range5;range2;range3;range6;range1;zero;female;3
range1;range6;range5;range2;range5;range1;range6;range5;range2;range6;range2;zero;female;4
range1;range5;range4;range3;range5;range1;range5;range5;range2;range6;range3;zero;female;5
range1;range3;range5;range5;range6;range1;range4;range6;range4;range7;range4;zero;female;6
range1;range2;range5;range6;range7;range1;range4;range2;range7;range7;range3;zero;female;7
range1;range3;range4;range2;range5;range3;range7;range3;range5;range7;range2;zero;female;8
range1;range3;range4;range1;range7;range5;range7;range2;range6;range5;range1;zero;female;9
range1;range5;range3;range2;range5;range2;range6;range1;range6;range5;range1;zero;female;10
range1;range3;range1;range4;range7;range4;range7;range2;range5;range2;range1;zero;female;0
range1;range4;range1;range2;range6;range4;range7;range3;range6;range3;range3;zero;female;1
range1;range7;range2;range1;range3;range3;range7;range1;range5;range2;range4;zero;female;2
range1;range6;range4;range1;range6;range2;range5;range2;range3;range6;range1;zero;female;3
range1;range6;range5;range2;range5;range1;range6;range3;range3;range6;range2;zero;female;4
range1;range5;range5;range3;range5;range1;range5;range6;range1;range6;range3;zero;female;5
range1;range3;range5;range5;range6;range1;range2;range7;range4;range6;range5;zero;female;6
range1;range2;range5;range6;range7;range1;range4;range2;range7;range7;range4;zero;female;7
range1;range3;range4;range2;range5;range2;range7;range2;range6;range6;range3;zero;female;8
range1;range3;range4;range1;range7;range5;range7;range1;range5;range5;range2;zero;female;9
range1;range5;range3;range2;range5;range2;range7;range1;range7;range4;range1;zero;female;10
range1;range3;range1;range3;range7;range4;range7;range2;range5;range3;range1;zero;female;0
range1;range4;range1;range2;range6;range4;range7;range3;range6;range4;range3;zero;female;1
range1;range7;range2;range1;range4;range3;range7;range1;range6;range2;range4;zero;female;2
range1;range7;range4;range1;range6;range2;range6;range1;range3;range5;range1;zero;female;3
range1;range5;range4;range2;range5;range1;range6;range2;range3;range5;range2;zero;female;4
range1;range4;range5;range3;range4;range1;range4;range7;range1;range6;range4;zero;female;5
range1;range3;range5;range4;range6;range1;range3;range7;range4;range7;range4;zero;female;6
range1;range2;range5;range6;range7;range1;range1;range5;range4;range7;range5;zero;female;7
range1;range3;range3;range2;range5;range2;range7;range2;range7;range6;range3;zero;female;8
range1;range3;range4;range1;range7;range6;range7;range3;range4;range6;range1;zero;female;9
range1;range6;range3;range1;range5;range2;range7;range1;range7;range4;range2;zero;female;10
range1;range3;range1;range3;range7;range4;range7;range3;range5;range3;range1;zero;female;0
range1;range4;range1;range2;range5;range4;range7;range3;range6;range4;range4;zero;female;1
range1;range7;range2;range1;range4;range3;range7;range1;range6;range2;range4;zero;female;2
range1;range6;range4;range1;range6;range2;range6;range1;range4;range4;range1;zero;female;3
range1;range5;range4;range2;range5;range2;range6;range3;range2;range5;range2;zero;female;4
range1;range4;range5;range2;range4;range1;range4;range7;range1;range5;range4;zero;female;5
range1;range3;range4;range4;range5;range1;range4;range6;range4;range7;range4;zero;female;6
range1;range1;range5;range6;range6;range1;range4;range4;range6;range7;range3;zero;female;7
range1;range3;range3;range2;range5;range2;range7;range2;range7;range6;range4;zero;female;8
range1;range3;range4;range1;range7;range6;range7;range3;range5;range6;range1;zero;female;9
range1;range6;range3;range1;range5;range1;range6;range1;range7;range5;range2;zero;female;10
range1;range3;range1;range3;range7;range5;range7;range3;range5;range3;range1;zero;female;0
range1;range4;range1;range2;range5;range4;range7;range3;range5;range3;range4;zero;female;1
range1;range6;range2;range1;range4;range3;range7;range1;range6;range2;range4;zero;female;2
range1;range6;range4;range1;range6;range2;range5;range1;range4;range4;range1;zero;female;3
range1;range4;range4;range2;range5;range2;range6;range2;range3;range4;range2;zero;female;4
range1;range4;range5;range2;range4;range1;range5;range6;range1;range6;range4;zero;female;5
range1;range3;range5;range3;range5;range1;range5;range6;range4;range7;range4;zero;female;6
range1;range1;range5;range6;range6;range1;range4;range5;range6;range7;range3;zero;female;7
range1;range3;range3;range2;range5;range2;range7;range2;range7;range4;range5;zero;female;8
range1;range2;range4;range1;range7;range5;range7;range2;range6;range5;range1;zero;female;9
range1;range6;range3;range2;range5;range1;range6;range1;range7;range5;range2;zero;female;10
range1;range2;range1;range7;range4;range7;range7;range7;range3;range2;range2;zero;female;0
range1;range7;range1;range2;range1;range3;range6;range7;range6;range7;range5;zero;female;1
range1;range7;range1;range2;range1;range5;range5;range5;range4;range4;range4;zero;female;2
range1;range7;range3;range1;range4;range5;range2;range4;range4;range5;range2;zero;female;3
range1;range6;range5;range6;range3;range1;range3;range3;range4;range7;range3;zero;female;4
range1;range6;range3;range7;range2;range4;range1;range3;range2;range7;range5;zero;female;5
range1;range4;range7;range2;range1;range4;range1;range5;range5;range7;range4;zero;female;6
range1;range2;range7;range7;range1;range1;range2;range6;range5;range5;range6;zero;female;7
range1;range1;range6;range6;range4;range2;range4;range4;range4;range7;range7;zero;female;8
range1;range1;range5;range6;range4;range3;range6;range5;range4;range6;range7;zero;female;9
range1;range4;range3;range6;range2;range4;range5;range4;range2;range6;range4;zero;female;10
range1;range1;range1;range7;range5;range7;range6;range7;range3;range2;range2;zero;female;0
range1;range7;range1;range2;range1;range4;range7;range7;range6;range6;range4;zero;female;1
range1;range7;range1;range2;range1;range5;range5;range5;range5;range4;range3;zero;female;2
range1;range7;range3;range1;range3;range5;range2;range4;range4;range5;range3;zero;female;3
range1;range6;range6;range5;range2;range2;range4;range3;range4;range6;range3;zero;female;4
range1;range6;range3;range7;range1;range4;range1;range4;range2;range7;range5;zero;female;5
range1;range4;range6;range4;range2;range2;range1;range2;range4;range7;range3;zero;female;6
range1;range2;range7;range7;range1;range1;range2;range6;range6;range5;range6;zero;female;7
range1;range1;range6;range6;range3;range2;range4;range5;range4;range6;range6;zero;female;8
range1;range1;range5;range6;range5;range2;range7;range5;range3;range7;range5;zero;female;9
range1;range4;range3;range7;range2;range3;range6;range6;range2;range4;range5;zero;female;10
range1;range1;range1;range7;range5;range7;range6;range7;range2;range2;range2;zero;female;0
range1;range7;range1;range2;range2;range5;range7;range7;range6;range6;range3;zero;female;1
range1;range7;range1;range2;range2;range5;range5;range5;range4;range4;range3;zero;female;2
range1;range7;range3;range1;range2;range4;range2;range4;range4;range5;range3;zero;female;3
range1;range5;range6;range5;range3;range2;range4;range3;range5;range6;range2;zero;female;4
range1;range6;range2;range7;range2;range3;range2;range5;range1;range7;range5;zero;female;5
range1;range4;range6;range4;range2;range2;range3;range2;range4;range7;range3;zero;female;6
range1;range2;range7;range6;range1;range1;range3;range7;range6;range4;range6;zero;female;7
range1;range1;range6;range7;range3;range1;range3;range5;range4;range6;range6;zero;female;8
range1;range1;range5;range6;range5;range2;range7;range4;range3;range6;range5;zero;female;9
range1;range5;range3;range6;range1;range3;range6;range6;range2;range4;range5;zero;female;10
range1;range1;range1;range7;range6;range7;range6;range6;range2;range1;range2;zero;female;0
range1;range7;range1;range2;range2;range5;range7;range7;range6;range6;range4;zero;female;1
range1;range7;range1;range2;range2;range5;range5;range4;range5;range4;range4;zero;female;2
range1;range7;range3;range1;range2;range5;range3;range4;range3;range5;range3;zero;female;3
range1;range5;range6;range4;range2;range2;range4;range3;range4;range6;range2;zero;female;4
range1;range6;range3;range6;range2;range3;range2;range4;range2;range7;range5;zero;female;5
range1;range4;range6;range5;range2;range2;range2;range3;range4;range7;range4;zero;female;6
range1;range2;range7;range7;range1;range1;range1;range7;range7;range4;range6;zero;female;7
range1;range1;range6;range7;range4;range1;range4;range5;range4;range6;range6;zero;female;8
range1;range1;range6;range6;range5;range2;range6;range5;range2;range7;range6;zero;female;9
range1;range5;range4;range5;range2;range3;range7;range4;range2;range5;range2;zero;female;10
range1;range1;range1;range7;range6;range7;range5;range5;range2;range1;range3;zero;female;0
range1;range7;range1;range2;range2;range5;range7;range6;range6;range5;range3;zero;female;1
range1;range7;range1;range2;range1;range5;range5;range4;range5;range4;range4;zero;female;2
range1;range7;range3;range1;range2;range5;range3;range3;range3;range5;range3;zero;female;3
range1;range5;range7;range2;range2;range2;range5;range4;range4;range6;range1;zero;female;4
range1;range6;range3;range6;range2;range4;range2;range3;range3;range7;range4;zero;female;5
range1;range4;range6;range5;range3;range2;range2;range3;range4;range7;range4;zero;female;6
range1;range2;range7;range7;range1;range1;range1;range6;range6;range5;range6;zero;female;7
range1;range1;range7;range6;range4;range1;range5;range6;range3;range6;range5;zero;female;8
range1;range1;range6;range6;range4;range3;range5;range6;range3;range6;range6;zero;female;9
